original N-fold results:
,precision, recall, f1, support
0.0,0.90,0.97,0.93,550
1.0,0.85,0.60,0.70,148
avg,0.87,0.79,0.82,698

stringsim  N-fold results:
,precision, recall, f1, support
0.0,0.95,0.97,0.96,550
1.0,0.88,0.82,0.85,148
avg,0.92,0.90,0.91,698

norm N-fold results:
,precision, recall, f1, support
0.0,0.90,0.98,0.94,550
1.0,0.88,0.58,0.70,148
avg,0.89,0.78,0.82,698

presence N-fold results:
,precision, recall, f1, support
0.0,0.92,0.96,0.94,550
1.0,0.83,0.68,0.75,148
avg,0.88,0.82,0.84,698

presence_stringsim N-fold results:
,precision, recall, f1, support
0.0,0.95,0.97,0.96,550
1.0,0.89,0.80,0.85,148
avg,0.92,0.89,0.90,698

norm_presence_stringsim N-fold results:
,precision, recall, f1, support
0.0,0.95,0.97,0.96,550
1.0,0.88,0.82,0.85,148
avg,0.92,0.89,0.91,698

