original N-fold results:
,precision, recall, f1, support
0.0,0.92,0.98,0.95,550
1.0,0.90,0.70,0.79,148
avg,0.91,0.84,0.87,698

stringsim  N-fold results:
,precision, recall, f1, support
0.0,0.95,0.98,0.97,550
1.0,0.91,0.82,0.87,148
avg,0.93,0.90,0.92,698

norm N-fold results:
,precision, recall, f1, support
0.0,0.90,0.97,0.94,550
1.0,0.85,0.61,0.71,148
avg,0.88,0.79,0.82,698

presence N-fold results:
,precision, recall, f1, support
0.0,0.94,0.96,0.95,550
1.0,0.83,0.77,0.80,148
avg,0.88,0.86,0.87,698

presence_stringsim N-fold results:
,precision, recall, f1, support
0.0,0.95,0.97,0.96,550
1.0,0.88,0.82,0.85,148
avg,0.92,0.90,0.91,698

norm_presence_stringsim N-fold results:
,precision, recall, f1, support
0.0,0.95,0.98,0.97,550
1.0,0.92,0.81,0.86,148
avg,0.94,0.90,0.91,698

