originalN-fold results:
,precision, recall, f1, support
0.0,0.88,0.87,0.87,181
1.0,0.83,0.84,0.83,137
avg,0.85,0.85,0.85,318

Heldout results:
,precision, recall, f1, support
0.0,0.86,0.87,0.86,55
1.0,0.86,0.84,0.85,51
avg,0.86,0.86,0.86,106

normalizedN-fold results:
,precision, recall, f1, support
0.0,0.88,0.87,0.88,181
1.0,0.83,0.84,0.84,137
avg,0.86,0.86,0.86,318

Heldout results:
,precision, recall, f1, support
0.0,0.85,0.82,0.83,55
1.0,0.81,0.84,0.83,51
avg,0.83,0.83,0.83,106

presence_featureN-fold results:
,precision, recall, f1, support
0.0,0.87,0.89,0.88,181
1.0,0.85,0.82,0.83,137
avg,0.86,0.85,0.86,318

Heldout results:
,precision, recall, f1, support
0.0,0.78,0.84,0.81,55
1.0,0.81,0.75,0.78,51
avg,0.79,0.79,0.79,106

norm_and_presenceN-fold results:
,precision, recall, f1, support
0.0,0.88,0.90,0.89,181
1.0,0.86,0.83,0.84,137
avg,0.87,0.86,0.86,318

Heldout results:
,precision, recall, f1, support
0.0,0.82,0.84,0.83,55
1.0,0.82,0.80,0.81,51
avg,0.82,0.82,0.82,106

