original N-fold results:
,precision, recall, f1, support
0.0,0.92,0.99,0.95,417
1.0,0.93,0.66,0.77,106
avg,0.93,0.82,0.86,523

Heldout results:
,precision, recall, f1, support
0.0,0.93,0.98,0.96,133
1.0,0.94,0.76,0.84,42
avg,0.94,0.87,0.90,175

norm N-fold results:
,precision, recall, f1, support
0.0,0.91,0.99,0.94,417
1.0,0.91,0.60,0.73,106
avg,0.91,0.79,0.84,523

Heldout results:
,precision, recall, f1, support
0.0,0.94,0.98,0.96,133
1.0,0.92,0.79,0.85,42
avg,0.93,0.88,0.90,175

presenceN-fold results:
,precision, recall, f1, support
0.0,0.93,0.98,0.95,417
1.0,0.90,0.69,0.78,106
avg,0.91,0.83,0.87,523

Heldout results:
,precision, recall, f1, support
0.0,0.93,0.95,0.94,133
1.0,0.84,0.76,0.80,42
avg,0.88,0.86,0.87,175

norm_presenceN-fold results:
,precision, recall, f1, support
0.0,0.92,0.98,0.95,417
1.0,0.89,0.68,0.77,106
avg,0.91,0.83,0.86,523

Heldout results:
,precision, recall, f1, support
0.0,0.94,0.95,0.95,133
1.0,0.85,0.81,0.83,42
avg,0.90,0.88,0.89,175

