original N-fold results:
,precision, recall, f1, support
0.0,0.91,0.99,0.94,417
1.0,0.91,0.59,0.72,106
avg,0.91,0.79,0.83,523

Heldout results:
,precision, recall, f1, support
0.0,0.92,0.98,0.95,133
1.0,0.91,0.71,0.80,42
avg,0.91,0.85,0.87,175

norm N-fold results:
,precision, recall, f1, support
0.0,0.90,0.99,0.94,417
1.0,0.92,0.57,0.70,106
avg,0.91,0.78,0.82,523

Heldout results:
,precision, recall, f1, support
0.0,0.90,0.98,0.94,133
1.0,0.90,0.64,0.75,42
avg,0.90,0.81,0.84,175

presenceN-fold results:
,precision, recall, f1, support
0.0,0.93,0.98,0.95,417
1.0,0.90,0.69,0.78,106
avg,0.91,0.83,0.87,523

Heldout results:
,precision, recall, f1, support
0.0,0.92,0.96,0.94,133
1.0,0.86,0.74,0.79,42
avg,0.89,0.85,0.87,175

norm_presenceN-fold results:
,precision, recall, f1, support
0.0,0.92,0.97,0.94,417
1.0,0.86,0.65,0.74,106
avg,0.89,0.81,0.84,523

Heldout results:
,precision, recall, f1, support
0.0,0.93,0.95,0.94,133
1.0,0.85,0.79,0.81,42
avg,0.89,0.87,0.88,175

