originalN-fold results:
,precision, recall, f1, support
0.0,0.86,0.87,0.87,181
1.0,0.83,0.81,0.82,137
avg,0.84,0.84,0.84,318

Heldout results:
,precision, recall, f1, support
0.0,0.84,0.93,0.88,55
1.0,0.91,0.80,0.85,51
avg,0.87,0.87,0.87,106

normalizedN-fold results:
,precision, recall, f1, support
0.0,0.86,0.89,0.87,181
1.0,0.85,0.81,0.83,137
avg,0.85,0.85,0.85,318

Heldout results:
,precision, recall, f1, support
0.0,0.82,0.89,0.85,55
1.0,0.87,0.78,0.82,51
avg,0.84,0.84,0.84,106

presence_featureN-fold results:
,precision, recall, f1, support
0.0,0.86,0.87,0.87,181
1.0,0.83,0.81,0.82,137
avg,0.84,0.84,0.84,318

Heldout results:
,precision, recall, f1, support
0.0,0.84,0.93,0.88,55
1.0,0.91,0.80,0.85,51
avg,0.87,0.87,0.87,106

norm_and_presenceN-fold results:
,precision, recall, f1, support
0.0,0.86,0.89,0.87,181
1.0,0.85,0.81,0.83,137
avg,0.85,0.85,0.85,318

Heldout results:
,precision, recall, f1, support
0.0,0.83,0.89,0.86,55
1.0,0.87,0.80,0.84,51
avg,0.85,0.85,0.85,106

