original N-fold results:
,precision, recall, f1, support
0.0,0.91,1.00,0.95,417
1.0,0.99,0.63,0.77,106
avg,0.95,0.81,0.86,523

Heldout results:
,precision, recall, f1, support
0.0,0.91,1.00,0.95,133
1.0,1.00,0.69,0.82,42
avg,0.96,0.85,0.89,175

norm N-fold results:
,precision, recall, f1, support
0.0,0.91,1.00,0.95,417
1.0,0.99,0.63,0.77,106
avg,0.95,0.81,0.86,523

Heldout results:
,precision, recall, f1, support
0.0,0.91,1.00,0.95,133
1.0,1.00,0.69,0.82,42
avg,0.96,0.85,0.89,175

presenceN-fold results:
,precision, recall, f1, support
0.0,0.94,0.98,0.96,417
1.0,0.89,0.76,0.82,106
avg,0.92,0.87,0.89,523

Heldout results:
,precision, recall, f1, support
0.0,0.95,0.97,0.96,133
1.0,0.90,0.83,0.86,42
avg,0.92,0.90,0.91,175

norm_presenceN-fold results:
,precision, recall, f1, support
0.0,0.94,0.98,0.96,417
1.0,0.89,0.76,0.82,106
avg,0.92,0.87,0.89,523

Heldout results:
,precision, recall, f1, support
0.0,0.95,0.97,0.96,133
1.0,0.90,0.83,0.86,42
avg,0.92,0.90,0.91,175

