INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,per_published_work_bow_0|null,per_published_work_bow_0|sqrt,per_published_work_bow_1|null,per_published_work_bow_1|sqrt,TRUTH
1,https://w3id.org/scholarlydata/person/gregoris-antoniou,https://w3id.org/scholarlydata/person/grigoris-antoniou,0.25,0.5,1,1,1,1,0.5,0.7071067812,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
2,https://w3id.org/scholarlydata/person/gregoris-antoniou,https://w3id.org/scholarlydata/person/grigoris-antoniou,0.25,0.5,1,1,1,1,0.5,0.7071067812,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
3,https://w3id.org/scholarlydata/person/grigoris-antoniou,https://w3id.org/scholarlydata/person/gregoris-antoniou,0.25,0.5,1,1,1,1,0.5,0.7071067812,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
4,https://w3id.org/scholarlydata/person/grigoris-antoniou,https://w3id.org/scholarlydata/person/gregoris-antoniou,0.25,0.5,1,1,1,1,0.5,0.7071067812,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
5,https://w3id.org/scholarlydata/person/ghislain-atemezing,https://w3id.org/scholarlydata/person/ghislain-auguste-atemezing,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030674847,0.0553848776,0.1111111111,0.3333333333,1
6,https://w3id.org/scholarlydata/person/ghislain-auguste-atemezing,https://w3id.org/scholarlydata/person/ghislain-atemezing,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009202454,0.0959294219,0.3333333333,0.5773502692,1
7,https://w3id.org/scholarlydata/person/soeren-auer,https://w3id.org/scholarlydata/person/soren-auer,0.2,0.4472135955,1,1,1,1,0.2857142857,0.5345224838,1,1,1,1,0.5,0.7071067812,1,1,1,1,0.037037037,0.1924500897,0.3333333333,0.5773502692,1,1,0,0,0,0,0,0,0.0625,0.25,0.3333333333,0.5773502692,1,1,0.0945945946,0.3075623426,0.5,0.7071067812,1,1,0.2122270742,0.4606810982,2.2430769231,1.4976905298,1
8,https://w3id.org/scholarlydata/person/soeren-auer,https://w3id.org/scholarlydata/person/soren-auer,0.2,0.4472135955,1,1,1,1,0.2857142857,0.5345224838,1,1,1,1,0.5,0.7071067812,1,1,1,1,0.037037037,0.1924500897,0.3333333333,0.5773502692,1,1,0,0,0,0,0,0,0.0625,0.25,0.3333333333,0.5773502692,1,1,0.0945945946,0.3075623426,0.5,0.7071067812,1,1,0.2122270742,0.4606810982,2.2430769231,1.4976905298,1
9,https://w3id.org/scholarlydata/person/soren-auer,https://w3id.org/scholarlydata/person/soeren-auer,0.2,0.4472135955,1,1,1,1,0.2857142857,0.5345224838,1,1,1,1,0.5,0.7071067812,1,1,1,1,0.037037037,0.1924500897,0.3333333333,0.5773502692,1,1,0,0,0,0,0,0,0.0625,0.25,0.3333333333,0.5773502692,1,1,0.0945945946,0.3075623426,0.5,0.7071067812,1,1,0.0590975255,0.2430998261,0.6246153846,0.7903261255,1
10,https://w3id.org/scholarlydata/person/soren-auer,https://w3id.org/scholarlydata/person/soeren-auer,0.2,0.4472135955,1,1,1,1,0.2857142857,0.5345224838,1,1,1,1,0.5,0.7071067812,1,1,1,1,0.037037037,0.1924500897,0.3333333333,0.5773502692,1,1,0,0,0,0,0,0,0.0625,0.25,0.3333333333,0.5773502692,1,1,0.0945945946,0.3075623426,0.5,0.7071067812,1,1,0.0590975255,0.2430998261,0.6246153846,0.7903261255,1
