"Source: source_org","Target: target_org","Score","Status"
"https://w3id.org/scholarlydata/person/markus-krause","https://w3id.org/scholarlydata/person/kai-uwe-krause","-56.4","correct"
"https://w3id.org/scholarlydata/person/ayumi-kato","https://w3id.org/scholarlydata/person/makoto-p-kato","-56.4","correct"
"https://w3id.org/scholarlydata/person/janette-lehmann","https://w3id.org/scholarlydata/person/jens-lehmann","-56.4","correct"
"https://w3id.org/scholarlydata/person/claudia-lehmann","https://w3id.org/scholarlydata/person/janette-lehmann","100.0","incorrect"
"https://w3id.org/scholarlydata/person/thomas-schneider","https://w3id.org/scholarlydata/person/michael-schneider","-56.4","correct"
"https://w3id.org/scholarlydata/person/ralf-moeller","https://w3id.org/scholarlydata/person/knud-moeller","100.0","incorrect"
"https://w3id.org/scholarlydata/person/kendall-clark","https://w3id.org/scholarlydata/person/stephen-clark","-56.4","correct"
"https://w3id.org/scholarlydata/person/guoqian-jiang","https://w3id.org/scholarlydata/person/daxin-jiang","-4.2","correct"
"https://w3id.org/scholarlydata/person/ed-h-chi","https://w3id.org/scholarlydata/person/yun-chi","-50.0","correct"
"https://w3id.org/scholarlydata/person/gordon-sun","https://w3id.org/scholarlydata/person/jian-tao-sun","-100.0","correct"
"https://w3id.org/scholarlydata/person/eleanor-fink","https://w3id.org/scholarlydata/person/michael-fink","-56.4","correct"
"https://w3id.org/scholarlydata/person/mark-hall","https://w3id.org/scholarlydata/person/wendy-hall","-56.4","correct"
"https://w3id.org/scholarlydata/person/alan-dix","https://w3id.org/scholarlydata/person/juergen-dix","-17.3","correct"
"https://w3id.org/scholarlydata/person/maria-esther-vidal","https://w3id.org/scholarlydata/person/vania-vidal","100.0","incorrect"
"https://w3id.org/scholarlydata/person/jiawei-han","https://w3id.org/scholarlydata/person/dingyi-han","-50.0","correct"
"https://w3id.org/scholarlydata/person/gareth-jones","https://w3id.org/scholarlydata/person/marggie-jones","-100.0","correct"
"https://w3id.org/scholarlydata/person/hwee-tou-ng","https://w3id.org/scholarlydata/person/vincent-ng","100.0","incorrect"
"https://w3id.org/scholarlydata/person/fred-freitas","https://w3id.org/scholarlydata/person/andre-freitas","50.0","incorrect"
"https://w3id.org/scholarlydata/person/lin-clark","https://w3id.org/scholarlydata/person/kendall-clark","-50.0","correct"
"https://w3id.org/scholarlydata/person/irwin-king","https://w3id.org/scholarlydata/person/ross-king","-56.4","correct"
"https://w3id.org/scholarlydata/person/jodi-schneider","https://w3id.org/scholarlydata/person/michael-schneider","-50.0","correct"
"https://w3id.org/scholarlydata/person/wei-fan","https://w3id.org/scholarlydata/person/james-fan","-56.4","correct"
"https://w3id.org/scholarlydata/person/bridget-maher","https://w3id.org/scholarlydata/person/kevin-maher","-4.2","correct"
"https://w3id.org/scholarlydata/person/blaz-fortuna","https://w3id.org/scholarlydata/person/carolina-fortuna","100.0","incorrect"
"https://w3id.org/scholarlydata/person/aixin-sun","https://w3id.org/scholarlydata/person/gordon-sun","-100.0","correct"
"https://w3id.org/scholarlydata/person/simon-castillo","https://w3id.org/scholarlydata/person/carlos-castillo","100.0","incorrect"
"https://w3id.org/scholarlydata/person/ravi-kumar","https://w3id.org/scholarlydata/person/vikash-kumar","-56.4","correct"
"https://w3id.org/scholarlydata/person/ljiljana-stojanovic","https://w3id.org/scholarlydata/person/nenad-stojanovic","100.0","incorrect"
"https://w3id.org/scholarlydata/person/anish-das-sarma","https://w3id.org/scholarlydata/person/atish-das-sarma","54.1","incorrect"
"https://w3id.org/scholarlydata/person/haklae-kim","https://w3id.org/scholarlydata/person/hyunsun-kim","-4.2","correct"
"https://w3id.org/scholarlydata/person/nigel-r-shadbolt","https://w3id.org/scholarlydata/person/james-hendler","-56.4","correct"
"https://w3id.org/scholarlydata/person/chun-lu","https://w3id.org/scholarlydata/person/yue-lu","100.0","incorrect"
"https://w3id.org/scholarlydata/person/xuxian-jiang","https://w3id.org/scholarlydata/person/xueyan-jiang","8.1","incorrect"
"https://w3id.org/scholarlydata/person/wei-fan","https://w3id.org/scholarlydata/person/xin-fan","-37.8","correct"
"https://w3id.org/scholarlydata/person/andre-freitas","https://w3id.org/scholarlydata/person/fred-freitas","-4.2","correct"
"https://w3id.org/scholarlydata/person/yuan-ren","https://w3id.org/scholarlydata/person/xu-ren","-37.8","correct"
"https://w3id.org/scholarlydata/person/su-myeon-kim","https://w3id.org/scholarlydata/person/hyunsun-kim","100.0","incorrect"
"https://w3id.org/scholarlydata/person/jay-kuan-chieh-chung","https://w3id.org/scholarlydata/person/chin-wan-chung","-100.0","correct"
"https://w3id.org/scholarlydata/person/jingtian-jiang","https://w3id.org/scholarlydata/person/guoqian-jiang","-56.4","correct"
"https://w3id.org/scholarlydata/person/philipp-singer","https://w3id.org/scholarlydata/person/ross-singer","-50.0","correct"
"https://w3id.org/scholarlydata/person/janette-lehmann","https://w3id.org/scholarlydata/person/franz-lehmann","-56.4","correct"
"https://w3id.org/scholarlydata/person/kaushik-chakrabarti","https://w3id.org/scholarlydata/person/deepayan-chakrabarti","-56.4","correct"
"https://w3id.org/scholarlydata/person/prabhakar-raghavan","https://w3id.org/scholarlydata/person/hema-raghavan","-56.4","correct"
"https://w3id.org/scholarlydata/person/dave-lewis","https://w3id.org/scholarlydata/person/neal-lewis","100.0","incorrect"
"https://w3id.org/scholarlydata/person/brian-davis","https://w3id.org/scholarlydata/person/hugh-c-davis","0.0","incorrect"
"https://w3id.org/scholarlydata/person/yang-song","https://w3id.org/scholarlydata/person/shuangyong-song","100.0","incorrect"
"https://w3id.org/scholarlydata/person/nicolas-jay","https://w3id.org/scholarlydata/person/caroline-jay","-50.0","correct"
"https://w3id.org/scholarlydata/person/pablo-n-mendes","https://w3id.org/scholarlydata/person/emilia-mendes","0.0","incorrect"
"https://w3id.org/scholarlydata/person/katrin-jordan","https://w3id.org/scholarlydata/person/patrick-jordan","-37.8","correct"
"https://w3id.org/scholarlydata/person/su-myeon-kim","https://w3id.org/scholarlydata/person/haklae-kim","-17.3","correct"
"https://w3id.org/scholarlydata/person/sandeep-pandey","https://w3id.org/scholarlydata/person/rachana-pandey","-100.0","correct"
"https://w3id.org/scholarlydata/person/claudio-gutierrez","https://w3id.org/scholarlydata/person/miguel-esteban-gutierrez","-100.0","correct"
"https://w3id.org/scholarlydata/person/ruihua-song","https://w3id.org/scholarlydata/person/fuqi-song","-4.2","correct"
"https://w3id.org/scholarlydata/person/patrik-schneider","https://w3id.org/scholarlydata/person/thomas-schneider","-56.4","correct"
"https://w3id.org/scholarlydata/person/richard-taylor","https://w3id.org/scholarlydata/person/kerry-taylor","-4.2","correct"
"https://w3id.org/scholarlydata/person/asuncion-gomez-perez","https://w3id.org/scholarlydata/person/jose-manuel-gomez-perez","100.0","incorrect"
"https://w3id.org/scholarlydata/person/chengzheng-sun","https://w3id.org/scholarlydata/person/tao-sun","-56.4","correct"
"https://w3id.org/scholarlydata/person/oscar-diaz","https://w3id.org/scholarlydata/person/fernando-diaz","100.0","incorrect"
