INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,per_published_work_bow_0|null,per_published_work_bow_0|sqrt,per_published_work_bow_1|null,per_published_work_bow_1|sqrt,TRUTH
1,https://w3id.org/scholarlydata/person/gregoris-antoniou,https://w3id.org/scholarlydata/person/grigoris-antoniou,0.25,0.5,1.0,1.0,1.0,1.0,0.5,0.7071067811865476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,1
INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,per_published_work_bow_0|null,per_published_work_bow_0|sqrt,per_published_work_bow_1|null,per_published_work_bow_1|sqrt,TRUTH
2,https://w3id.org/scholarlydata/person/gregoris-antoniou,https://w3id.org/scholarlydata/person/grigoris-antoniou,0.25,0.5,1.0,1.0,1.0,1.0,0.5,0.7071067811865476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,1
INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,per_published_work_bow_0|null,per_published_work_bow_0|sqrt,per_published_work_bow_1|null,per_published_work_bow_1|sqrt,TRUTH
3,https://w3id.org/scholarlydata/person/grigoris-antoniou,https://w3id.org/scholarlydata/person/gregoris-antoniou,0.25,0.5,1.0,1.0,1.0,1.0,0.5,0.7071067811865476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,1
INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,per_published_work_bow_0|null,per_published_work_bow_0|sqrt,per_published_work_bow_1|null,per_published_work_bow_1|sqrt,TRUTH
4,https://w3id.org/scholarlydata/person/grigoris-antoniou,https://w3id.org/scholarlydata/person/gregoris-antoniou,0.25,0.5,1.0,1.0,1.0,1.0,0.5,0.7071067811865476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,1
INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,per_published_work_bow_0|null,per_published_work_bow_0|sqrt,per_published_work_bow_1|null,per_published_work_bow_1|sqrt,TRUTH
5,https://w3id.org/scholarlydata/person/ghislain-atemezing,https://w3id.org/scholarlydata/person/ghislain-auguste-atemezing,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003067484662576687,0.05538487756217113,0.1111111111111111,0.3333333333333333,1
INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,per_published_work_bow_0|null,per_published_work_bow_0|sqrt,per_published_work_bow_1|null,per_published_work_bow_1|sqrt,TRUTH
6,https://w3id.org/scholarlydata/person/ghislain-auguste-atemezing,https://w3id.org/scholarlydata/person/ghislain-atemezing,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009202453987730062,0.0959294219086619,0.3333333333333333,0.5773502691896257,1
INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,per_published_work_bow_0|null,per_published_work_bow_0|sqrt,per_published_work_bow_1|null,per_published_work_bow_1|sqrt,TRUTH
7,https://w3id.org/scholarlydata/person/soeren-auer,https://w3id.org/scholarlydata/person/soren-auer,0.2,0.4472135954999579,1.0,1.0,1.0,1.0,0.2857142857142857,0.5345224838248488,1.0,1.0,1.0,1.0,0.5,0.7071067811865476,1.0,1.0,1.0,1.0,0.037037037037037035,0.19245008972987526,0.3333333333333333,0.5773502691896257,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.3333333333333333,0.5773502691896257,1.0,1.0,0.0945945945945946,0.3075623426146228,0.5,0.7071067811865476,1.0,1.0,0.21222707423580786,0.46068109819679803,2.243076923076923,1.4976905298081187,1
