INDEX,URI_1,URI_2,per_from_org_name_union|null,per_from_org_name_presence,per_from_org_name_union|sqrt,per_from_org_name_max|null,per_from_org_name_max|sqrt,per_from_org_uri_union|null,per_from_org_uri_presence,per_from_org_uri_union|sqrt,per_from_org_uri_max|null,per_from_org_uri_max|sqrt,per_name_union|null,per_name_presence,per_name_union|sqrt,per_name_max|null,per_name_max|sqrt,per_participated_event_uri_union|null,per_participated_event_uri_presence,per_participated_event_uri_union|sqrt,per_participated_event_uri_max|null,per_participated_event_uri_max|sqrt,per_published_work_uri_union|null,per_published_work_uri_presence,per_published_work_uri_union|sqrt,per_published_work_uri_max|null,per_published_work_uri_max|sqrt,per_role_at_event_uri_union|null,per_role_at_event_uri_presence,per_role_at_event_uri_union|sqrt,per_role_at_event_uri_max|null,per_role_at_event_uri_max|sqrt,per_published_work_coauthor_union|null,per_published_work_coauthor_presence,per_published_work_coauthor_union|sqrt,per_published_work_coauthor_max|null,per_published_work_coauthor_max|sqrt,per_published_work_bow_union|null,per_published_work_bow_presence,per_published_work_bow_union|sqrt,per_published_work_bow_max|null,per_published_work_bow_max|sqrt,TRUTH
1,https://w3id.org/scholarlydata/person/gregoris-antoniou,https://w3id.org/scholarlydata/person/grigoris-antoniou,0.2857142857142857,2.0,0.5345224838248488,1.0,1.0,0.5,2.0,0.7071067811865476,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2,https://w3id.org/scholarlydata/person/gregoris-antoniou,https://w3id.org/scholarlydata/person/grigoris-antoniou,0.2857142857142857,2.0,0.5345224838248488,1.0,1.0,0.5,2.0,0.7071067811865476,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
3,https://w3id.org/scholarlydata/person/grigoris-antoniou,https://w3id.org/scholarlydata/person/gregoris-antoniou,0.2857142857142857,2.0,0.5345224838248488,1.0,1.0,0.5,2.0,0.7071067811865476,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
4,https://w3id.org/scholarlydata/person/grigoris-antoniou,https://w3id.org/scholarlydata/person/gregoris-antoniou,0.2857142857142857,2.0,0.5345224838248488,1.0,1.0,0.5,2.0,0.7071067811865476,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
5,https://w3id.org/scholarlydata/person/ghislain-atemezing,https://w3id.org/scholarlydata/person/ghislain-auguste-atemezing,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.003076923076923077,2.0,0.05547001962252291,0.1111111111111111,0.3333333333333333,1
6,https://w3id.org/scholarlydata/person/ghislain-auguste-atemezing,https://w3id.org/scholarlydata/person/ghislain-atemezing,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.003076923076923077,2.0,0.05547001962252291,0.1111111111111111,0.3333333333333333,1
7,https://w3id.org/scholarlydata/person/soeren-auer,https://w3id.org/scholarlydata/person/soren-auer,0.18181818181818182,2.0,0.4264014327112209,0.6666666666666666,0.816496580927726,0.2222222222222222,2.0,0.4714045207910317,0.5,0.7071067811865476,0.5,2.0,0.7071067811865476,1.0,1.0,0.03571428571428571,2.0,0.1889822365046136,0.25,0.5,0.0,2.0,0.0,0.0,0.0,0.0625,2.0,0.25,0.3333333333333333,0.5773502691896257,0.10975609756097561,2.0,0.3312945782245396,0.375,0.6123724356957945,0.10262390670553936,2.0,0.32034966318936464,0.5238095238095238,0.7237468644557459,1
8,https://w3id.org/scholarlydata/person/soeren-auer,https://w3id.org/scholarlydata/person/soren-auer,0.18181818181818182,2.0,0.4264014327112209,0.6666666666666666,0.816496580927726,0.2222222222222222,2.0,0.4714045207910317,0.5,0.7071067811865476,0.5,2.0,0.7071067811865476,1.0,1.0,0.03571428571428571,2.0,0.1889822365046136,0.25,0.5,0.0,2.0,0.0,0.0,0.0,0.0625,2.0,0.25,0.3333333333333333,0.5773502691896257,0.10975609756097561,2.0,0.3312945782245396,0.375,0.6123724356957945,0.10262390670553936,2.0,0.32034966318936464,0.5238095238095238,0.7237468644557459,1
9,https://w3id.org/scholarlydata/person/soren-auer,https://w3id.org/scholarlydata/person/soeren-auer,0.18181818181818182,2.0,0.4264014327112209,0.6666666666666666,0.816496580927726,0.2222222222222222,2.0,0.4714045207910317,0.5,0.7071067811865476,0.5,2.0,0.7071067811865476,1.0,1.0,0.03571428571428571,2.0,0.1889822365046136,0.25,0.5,0.0,2.0,0.0,0.0,0.0,0.0625,2.0,0.25,0.3333333333333333,0.5773502691896257,0.10975609756097561,2.0,0.3312945782245396,0.375,0.6123724356957945,0.10262390670553936,2.0,0.32034966318936464,0.5238095238095238,0.7237468644557459,1
10,https://w3id.org/scholarlydata/person/soren-auer,https://w3id.org/scholarlydata/person/soeren-auer,0.18181818181818182,2.0,0.4264014327112209,0.6666666666666666,0.816496580927726,0.2222222222222222,2.0,0.4714045207910317,0.5,0.7071067811865476,0.5,2.0,0.7071067811865476,1.0,1.0,0.03571428571428571,2.0,0.1889822365046136,0.25,0.5,0.0,2.0,0.0,0.0,0.0,0.0625,2.0,0.25,0.3333333333333333,0.5773502691896257,0.10975609756097561,2.0,0.3312945782245396,0.375,0.6123724356957945,0.10262390670553936,2.0,0.32034966318936464,0.5238095238095238,0.7237468644557459,1
